Sentence,rank
"""Cloud Environment Experience (AWS advantage)""
",1
"""Experience with software development best practices such as agile methodologies, unit testing, code reviews, and version control (e""
",2
"""WebRTC experience - Big Advantage""
",1
"""Strong orientation for DevOps - Containers, Microservices, Kubernetes, Network, Cloud Management - Big Advantage""
",1
"""Secure Code Concepts & Practices""
",1
"""The Client Computing Group (CCG) is responsible for driving business strategy and product development for Intel's PC products and platforms, spanning form factors such as notebooks, desktops, 2 in 1s, all in ones""
",1
"""Working with our partners across the industry, we intend to continue to advance PC experiences to deliver the real-world performance people demand""
",2
"""As the largest business unit at Intel, CCG is investing more heavily in the PC, ramping its capabilities even more aggressively, and designing the PC experience even more deliberately, including delivering a predictable cadence of leadership products""
",1
"""As a result, we are able to fuel innovation across Intel, providing an important source of IP and scale, as well as help the company deliver on its purpose of enriching the lives of every person on earth""
",1
"""All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance""
",1
"""We offer a total compensation package that ranks among the best in the industry""
",1
"""It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation""
",1
"""Find more information about all of our Amazing Benefits here: https://www""
",1
"""A brilliant opportunity to join VITEC as a Software developer has become available! The VITEC office in Israel plays a critical role in streaming video and software technology""
",1
"""With the award winning EZ TV IPTV, the talented ream in Tel Aviv contributed significantly to the platform that won an Engineering and Technical Emmy Award, received at NAB 2022""
",2
"""If you decide to apply for this and you get the job you will become part of a team developing our frontend side product, EZ TV, IPTV, and Digital Signage solution, deployed and used by NBA and NFL teams, NASA bases, Hospitals, television broadcasters, and lots more! Front-end developer duties include determining the structure and design of web pages based on MRD, striking a balance between functional and aesthetic design, and ensuring web design is optimized""
",1
"""You will mainly develop in Microsoft environments in Angular/JavaScript/TypeScript""
",1
"""VITEC is the global leader in enterprise IP video technology""
",1
"""With a number of offices around the world we are the leader in the IPTV & Digital signage market""
",1
"""Our development is based on innovation""
",1
"""From handling high bitrate, encrypted, UHD satellite streams to custom UX on the latest smart TVS for our international client base, the opportunities are endless""
",1
"""You will be working with the latest codec and encryption technologies central to the transport of secure video over an enterprise network""
",1
"""You will have experience of software developing, educated to degree level in Computer Science or a related discipline""
",1
"""As well as this we are looking for you to have:""
",1
"""Experience in web pages development – senior level""
",1
"""Experience developing Angular single-page applications""
",1
"""Understanding of OOP design principles""
",1
"""Proficiency in TypeScript, HTML, CSS, JavaScript""
",1
"""Experience with responsive and adaptive design""
",1
"""Basic understanding of network protocols""
",1
"""Good project-oriented mindset, delivery-driven, team player""
",1
"""Excellent verbal communication skills, good English""
",2
"""It would also be advantageous to have:""
",1
"""Knowledge of digital Video technologies & protocols""
",1
"""Experience working in a Linux environment""
",1
"""Experience working with VersionOne/TFS, git, svn""
",2
"""VITEC is a market-leading provider of IPTV, digital signage and video streaming technologies that help organisations harness the power of video to communicate, educate and entertain""
",1
"""VITEC is a pioneer in the design and manufacture of hardware and software for video encoding, decoding, transcoding, archiving and streaming over IP""
",1
"""Our end-to-end video streaming solutions enable customers to capture TV and video content directly from any source and manage its delivery, as channels or within digital signage screens, to any connected device via an existing network""
",1
"""From corporate, broadcast and venues, to accommodation, government and military, VITEC has global expertise in delivering complex, proAV solutions""
",1
"""VITEC’s award-winning IPTV platform is a powerful suite of services for content management, digital signage, video archiving, and video wall processing""
",1
"""Our encode/decode solutions are 100% hardware based, including PCIe cards with SDK for custom design or OEM for high-performance video systems""
",2
"""Headquartered in Paris, France, we have a global reach through our offices across the Americas, Europe, Middle East, Africa and Asia Pacific""
",1
"""Making a difference with green initiatives, VITEC is the first Zero Carbon MPEG company and encourages customers to buy GreenPEG™ for continued environmental efforts to reduce greenhouse gases""
",1
"""People Our people come first""
",1
"""Our teams are dynamic and inclusive and each person in every team is unique and valued""
",1
"""We are big on autonomy and empowering individuals to make a difference""
",1
"""Work/life balance When you thrive, we thrive""
",1
"""Work- life balance is the key to a rewarding career""
",1
"""As you grow and develop, you’ll discover the tools, culture, and opportunities to help personalise your career journey, so it’s as unique and ambitious as you are""
",1
"""Hybrid and flexible working options are available""
",1
"""Growth Potential Working internationally with our team of experts means an always learning approach and there are lots of ways to play, problem solve and create""
",1
"""This growth will continue; innovation and evolution are key""
",1
"""Our growth is phenomenal – check out our company timeline and corporate overview – our future direction is clear""
",1
"""Diversity and Inclusion Diversity, inclusiveness, and your career are vital to our success""
",1
"""Your point of view matters and you deserve to feel included""
",1
"""We empower you to use your voice and talents to help others find theirs""
",1
"""Whoever you are, we believe your uniqueness helps us stand apart""
",1
"""Team Culture Our inclusive corporate culture provides opportunities to grow your career""
",1
"""Our people create great work in a relaxed way, regardless of where their workstation is""
",1
"""Small teams mean your efforts and the great decision you make every day are seen""
",1
"""We’ve created a great team environment, with regular meetups for team collaborations and to share fun times together as well""
",1
"""Benefits We take care of everyone""
",1
"""What makes us tick is our people""
",1
"""The VITEC benefits package goes above and beyond, focusing on your physical, emotional, financial and social well-being""
",1
"""You can find out more about the benefits we offer from the HR Contact in Country""
",1
"""VITEC is an equal opportunity employer, and the only thing that matters to us is your ability to do this role""
",1
"""Wherever you will search, we are there""
",1
"""By land, at sea, in the air, even in autonomous and underground systems, in Israel and abroad- this is your chance to make real impact, and be part of a family oriented team""
",1
"""If you are a talented developer, passionate about software, we are excited to have you onboard in Natanya""
",2
"""Leading a team of developers""
",1
"""Take an active position in the software development lifecycle, from design sessions through code review and testing""
",1
"""Working with Agile best practices""
",1
"""Planning, executing and overseeing the teamwork according to the agreed design and requirements""
",1
"""Provide customer support by solving product issues - onsite and remote""
",1
"""Define development requirements of complex system features""
",1
"""Collaborate with other software development teams, product managers, QA, Presale and DevOps""
",1
"""We Are Looking For Candidates With""
",1
"""Proven experience as a team leader""
",1
"""Practical experience as a Full- Stack developer, working with React ,JavaScript, Java/""
",1
"""3+ years of experience with Micro Services Architecture and Distributed Systems""
",1
"""BSc\BA in Computer Science, or any related degree""
",1
"""Experience with DevOps practices (CI pipeline) and deployment tools (Jenkins, Docker, K8s, etc""
",1
"""Experience working on Windows and Linux environments""
",1
"""is a leading mobile gaming company and monetization platform with over 35 million monthly active users across a portfolio of games titles""
",1
"""Founded in 2010, Playtika was among the first to offer free-to-play social games on social networks and, shortly after, on mobile platforms""
",1
"""Headquartered in Herzliya, Israel, and guided by a mission to entertain the world through infinite ways to play, Playtika has over 3,700 employees in 19 offices worldwide including Herzelliya, London, Berlin, Vienna, Helsinki, Montreal, Chicago, Las Vegas, Santa Monica, Newport Beach, Sydney, Kiev, Bucharest, Minsk, Dnepr, and Vinnitsa""
",1
"""We are looking for an experienced Python Data Engineer Tech Lead to work with the technology division in Herzelliya office!""
",1
"""If you are interested in working with talented and passionate teammates and becoming a driving force for the evolution of Big Data and Machine Learning systems, providing business deep analytics and player behavior predictions then Playtika Herzellia will be the right fit for you""
",2
"""You will work with many exciting technologies like Apache Spark, Spark Streaming, Kafka, Hadoop, Vertica, Alluxio, Pure, Iceberg, Aerospike, Airflow, Datahub, and Kubernetes to name a few""
",1
"""Tech-lead a team of skilled data SW engineers""
",1
"""Training, mentoring, and hiring new data engineers""
",1
"""Enhances the professionalism of the team""
",1
"""Builds work processes in their professional domain""
",1
"""Collaborating with our architects, product owners, data scientists, QA and Data infrastructure""
",1
"""Promote best practices coding, code complete standards, and design patterns""
",1
"""Be part of the global team building data platform to support gaming tenants""
",1
"""Build and deploy scalable and reliable data processing pipelines to move and aggregate large amounts of data""
",1
"""Monitor and Maintain production level applications""
",1
"""Tune and optimize data applications architecture to reach real-time capabilities""
",1
"""Makes major decisions in their domain and sets standards""
",1
"""Coordinate technical issues/decisions in his domain and communicate it to other Domains""
",1
"""Impacts the growth of the business and organizational KPIs""
",1
"""in computer science / software engineering""
",1
"""At least 2 years' experience as data engineering tech or team leader""
",2
"""Practicing modern SW development processes (SCRUM, Clean code, Unit tests, source control, TDD, CI-CD, deployment automation)""
",1
"""Passion for data engineering, quality, automation and efficiency, self-starter, loves challenges, independent and a tech savvy;""
",2
"""Proficient in Python with +3 years of experience in writing Spark-based batch, streaming data applications (Streaming\Structured Streaming\Spark SQL), micro services and ETLs;""
",2
"""Understand data concept such as Freshness, Observability, Wrangling, and Linage""
",1
"""English (both spoken & written)""
",1
"""Advanced knowledge in parallel processing algorithms and techniques""
",1
"""Knowledge in advanced Bigdata topics and distributed computing""
",1
"""Knowledge in K8s, Docker, Delta Lake/Iceberg, Data Mesh, Aerospike, Airflow, Vertica""
",1
"""Familiarity with data warehousing concepts and systems""
",1
"""Knowledge in Java development and best practice""
",1
"""Wix’s Backend Engineering group, where our senior software engineers shape the architecture of our backend microservices""
",1
"""Due to our high scale, we run our production clusters across multiple data centers and cloud vendors, managing an ecosystem of more than 1,300 microservices, handling daily traffic of about 200 million users""
",1
"""This introduces unique distributed system challenges of synchronization, performance, testing, and monitoring while working with cutting edge technologies""
",1
"""Our developer-centric approach places responsibility, ownership, and trust on each developer on their path to production""
",1
"""Our culture is transparent, highly technical, and agile""
",2
"""We invest 20% of our time in personal-professional development and improving our craftsmanship""
",1
"""A passionate team player with at least 3 years’ experience, who can reason and communicate your opinions, as well as accept others’ approaches""
",1
"""You’re proactive, never taking the present state for granted and always striving to understand why things are done the way they are""
",1
"""You’re a clean coder with readable, simple, and maintainable code""
",1
"""You recognize bad code and continuously search for better solutions""
",1
"""You quickly grasp large & complex systems and their inner workings""
",1
"""You’re experienced with software engineering best practices (testing, code reviews, immutability, etc) and are aware of bad practices and anti-patterns""
",1
"""You’re deeply familiar with the tools, libraries, and frameworks that you’ve worked with and feel at home in a POSIX production environment""
",1
"""You’re also able to debug and investigate production issues""
",1
"""Understand and write multi-threaded code, specifically a web server's request lifecycle""
",1
"""Have an understanding of reactive patterns and toolkits""
",1
"""Have contributed to open-source software""
",1
"""Have spoken at developer meetups, conferences or have a blog about software engineering""
",1
"""Have an excellent understanding of database systems, relational and otherwise, including sharding for big data applications""
",2
"""Are able to conduct performance analysis for a system and find its bottlenecks""
",1
"""Have been a “go-to” person in your previous teams/organizations""
",1
"""Have experience with JVM environments and languages such as Java, Scala or Kotlin""
",1
"""As a Senior Backend Engineer, you will:""
",1
"""Work on cutting-edge technologies and become an industry leader""
",1
"""Improve your skills and learn from top-notch engineers""
",2
"""Tackle tough problems and find creative ways to solve them""
",1
"""Push your code to millions of users every day""
",1
"""Solve hard problems in a simple way using TDD and clean code""
",1
"""Contribute to the OSS community""
",1
"""We strive to hire engineers who embrace excellence, have ‘fire and forget’ abilities, and who are independent, innovative, and bold""
",2
"""NICE is looking for a highly motivated Senior Software Engineer to join CXone, our fully integrated open cloud customer experience platform""
",2
"""It's your time to be part of a dynamic team working on an exciting industry leader product, this is the job you’ve been looking for!""
",1
"""Actively lead and participate in the product features development""
",1
"""Enforce and encourage coding standards and development of best practices in the team""
",1
"""Promote an empowered, self-managed, collaborative, multidisciplinary team environment that fosters ownership, creativity, and innovation""
",2
"""Analyze features requirements, create design documents, and review them with relevant stakeholders in the group""
",1
"""Encourage continuous improvement in the development process and ensure efficient delivery of products""
",1
"""Participate in reviewing the design and code of other team members""
",1
"""Deliver high-quality, sustainable, and maintainable code""
",1
"""Mentor younger developers in the team""
",1
"""Provide critical technical capabilities to the team and evangelizes those skills to others""
",2
"""5 years of experience as a back-end Software Engineer""
",1
"""Vast hands-on experience developing with Spring framework and Spring Boot""
",1
"""Experience working with relational DB using JPA & Hibernate""
",1
"""Good software design capabilities, debugging skills, and problem-solving abilities""
",2
"""Experience with developing a microservices-based architecture""
",1
"""Experience leading and actively participating in major features development for a high scale, distributed product""
",1
"""High-level verbal and written English skills""
",1
"""Would be very NICE if you have:""
",1
"""Built distributed production systems at large scale""
",1
"""Profiled and optimized code to improve performance""
",1
"""Would be very NICE to see:""
",1
"""If you have any of the below, we highly recommend adding them to your CV""
",1
"""We'd love to learn about what you've done so far""
",1
"""A link to a post you wrote or an interesting presentation you’ve given""
",1
"""Open source projects you’ve created or contributed to""
",1
"""Interesting, non-trivial problems you’ve dealt with""
",1
"""At JFrog, we’re reinventing DevOps to help the world’s greatest companies innovate -- and we want you along for the ride""
",1
"""This is a special place with a unique combination of brilliance, spirit and just all-around great people""
",1
"""Here, if you’re willing to do more, your career can take off""
",1
"""And since software plays a central role in everyone’s lives, you’ll be part of an important mission""
",1
"""Thousands of customers, including the majority of the Fortune 100, trust JFrog to manage, accelerate, and secure their software delivery from code to production -- a concept we call “liquid software""
",1
"""” Wouldn't it be amazing if you could join us in our journey?""
",1
"""We are looking for an experienced, hands-on developer to join an innovative and talented R&D team, responsible for delivering fast and high quality code, using the latest frameworks and technologies""
",1
"""As a Senior Software Engineer at JFrog you will""
",1
"""Be responsible for all development aspects form design to production of a wide hybrid/ cloud naitive product""
",1
"""Write high quality, testable and efficient code in Java and Go""
",1
"""Initiate and promote new ideas for continuous improvement of the product functionality""
",1
"""Work closely with other team members as well as mentoring new team members""
",1
"""To be a Senior Software Engineer at JFrog you need""
",1
"""7+ years of software development experience""
",1
"""Proven deep knowledge of computer languages, such as Java and Go""
",1
"""Deep understanding of relational databases, concurrent programming and performance tuning""
",1
"""Vast experience with large scale production environments""
",1
"""Experience with micro services architecture""
",1
"""Familiarity with Cloud infrastructure, Docker, Kubernetes & CI/CD""
",1
"""Disciplined approach to testing and quality assurance""
",1
"""The Vets is revolutionizing the pet care industry""
",1
"""We are at the forefront of combining software and services into accessible apps that give game-changing value to pet owners across the US""
",1
"""We are looking for a Full Stack Developer to join our team""
",1
"""We are creating innovative mobile and web applications using the latest tools in modern development""
",1
"""Full-time position in our awesome office in Ramat-Gan near the train station""
",1
"""As Full Stack Developer, you will be responsible for building our mobile and web applications and various APIs""
",1
"""Work closely with the Product team and take an active part in writing the designs and architecture""
",1
"""Mentor other software engineers to improve their skills and in fulfilling guidelines and standards to enforce consistency throughout all our products""
",1
"""2+ years of experience in software development with a deep understanding of, at least, one programming language""
",1
"""Knowledge in building RESTful APIs""
",1
"""Knowledge in both relational and non-relational DBs (our current stack consists of MySQL, Postgres and Mongo)""
",1
"""Strong understanding of clean coding principles and design patterns""
",1
"""Experience working with CI/CD, deployment automation, and configuration management""
",1
"""Excellent written/verbal skills in both English and Hebrew""
",2
"""Experience with HTML and CSS""
",1
"""Familiarity with technologies like Webpack and Babel""
",1
"""Experience with AWS and/or Kubernetes - Advantage""
",1
"""Our mission is to power fast, agile enterprises by creating a world where work is simplified, and goals are met""
",1
"""We offer an amazing opportunity for exceptional individuals to join our rapidly growing SaaS company serving hundreds of the largest customers in the world and deliver an innovative solution to help them carry out their work""
",1
"""Our products have been repeatedly recognized by Gartner and Forrester as market leaders""
",1
"""We're looking for a Senior Backend SW Engineer to join our Platform Product Development Team and lead its activities""
",1
"""We have multiple products, built and acquired, that successfully enable the largest and most recognized brands accomplish their development goals""
",1
"""As Senior Backend SW Engineer, you’ll have the opportunity to drive this process for one of our main products, working closely with product managers, architects, and other brilliant developers""
",1
"""This is a unique opportunity to drive change and provide a positive impact to our customers""
",1
"""Support and lead R&D activities in the team of highly skilled software engineers, driving highly effective execution, delivering high quality results on time""
",2
"""Lead code refactoring activities to support high maintainability""
",1
"""Gain product and technology expertise, from research and validation, to design and development, to monitoring the product in production""
",1
"""Minimum 7 years’ experience in software development""
",1
"""Proven extensive experience with Microsoft""
",1
"""Proven experience with relational databases, fluent with SQL""
",1
"""Experience with asynchronous programming, multithreading""
",1
"""Experience with message-broker technologies, preferably RabbitMQ""
",1
"""Experience with distributed cache technologies, preferably Redis""
",1
"""Experience with memory dumps analysis""
",1
"""Proven experience in building and supporting cloud-based, enterprise grade, SaaS applications""
",1
"""Team player, strong communication skills and desire to work in a fast-paced environment""
",2
"""Degree in Computer Science or related field""
",1
"""Fluent English: both written and spoken""
",1
"""Experience with searching technologies, preferably Solr""
",1
"""Experience with at least some of the front-end technologies: JavaScript, React, jQuery, ASP""
",1
"""Experience with public cloud technologies, preferably AWS""
",1
"""Riverbed transforms data into actionable insights and accelerates performance so organizations can deliver a seamless digital experience and drive enterprise performance""
",1
"""Riverbed is the only company with the collective richness of telemetry from network to app to end user, that illuminates and then accelerates every digital interaction""
",1
"""Riverbed offers two industry-leading portfolios: Alluvio by Riverbed, a differentiated Unified Observability portfolio that unifies data, insights, and actions across IT, so customers can deliver seamless, secure digital experiences; and Riverbed Acceleration, providing fast, agile, secure acceleration of any app, over any network, to users anywhere""
",1
"""Together with our thousands of partners, and market-leading customers globally – including 95% of the FORTUNE 100 –, we empower every click, every digital experience""
",1
"""We are looking for a passionate, talented Senior Software Engineer to join our growing development teams""
",1
"""In this role you will join one of our strong teams and be part of developing our company's SaaS solution""
",1
"""As a part of this role, you will be responsible for the end-to-end development of new features and components as well as implementing new technologies""
",1
"""In addition, you will take part in supporting and improving the serviceability of our product, on our mission critical extensive SaaS production environments""
",1
"""Alluvio Aternity full-spectrum Digital Experience Management provides insight into the business impact of customer and employee digital experience by capturing and storing technical telemetry at scale from employee devices, every type of business application, and your cloud-native application service""
",1
"""If you are excited about Cloud, SaaS, Azure, AWS, Scale, CI\CD, Micro Services, and Enterprise level product, and if you are equally excited about can do attitude, problem solving, making an impact and team spirit – your place is among us, we would love to meet you!""
",1
"""Proven ability to Design, lead, Implement and deliver technical projects end to end""
",1
"""Provide technical guidance for team members tasks, provide technical guidance and be a technical ‘go-to’ person for other members""
",1
"""Support and contribute to our SaaS solution serviceability and sustainability, troubleshoot and resolve issues""
",1
"""Take active part in design, architecture and implementation of Scale, Big Data, Performance and High Availability services""
",1
"""Take active part in designing and architecting our next generation architecture""
",1
"""Take part in the CI\CD process and delivery""
",1
"""The team owns Quality & Automation of the teams’ developments""
",1
"""Working closely with colleague teams, DevOps, management, POs, and additional stakeholders""
",1
"""Conduct research and self-learning via various resources for the design and implementation of product vision""
",2
"""Be the owner of your domain and ensure code quality, performance, and scalability""
",1
"""Bachelor's degree in Computer Science, Computer Engineering, Information Technology (or equivalent)""
",1
"""Experience of at least 5 years of SW development""
",1
"""Strong Development skills in Object Oriented languages such as Java \""
",1
"""Excellent troubleshooting and investigation skills, solid experience in production incidents resolution""
",2
"""Proven architectural skills - experience with large-scale systems design experience with Cloud, Azure or AWS services""
",1
"""Strong experience with SaaS technologies, Scale, High Availability, micro services architecture, big data, performance""
",1
"""Can-do attitude, motivational, problem solver, proactive and curious""
",1
"""Excellent communication and interpersonal skills""
",2
"""Familiar with DevOps processes and deep knowledge of CI\CD methodologies and Cloud technologies (Ansible, BitBucket, Jenkins, Maven, Kubernetes) - Big plus""
",1
"""With a 20-year history of innovation, Riverbed is agile, yet proven, and we are disrupting the market with differentiated solutions that enable our customers to deliver secure, seamless digital experiences and accelerate enterprise performance While we are a ‘customer-first’ company, we are all about our people with a shared commitment to creating a global impact""
",1
"""We bring our best selves to work and pursue excellence, trust, and respect for one another""
",2
"""We welcome diversity and value and encourage transparency and open communication throughout the company""
",1
"""We strive to be an inclusive, fair, and enjoyable workplace for our people globally and care about their wellbeing""
",1
"""We are committed to our people, partners, and customers while supporting the communities where we work and live""
",1
"""It’s the Power of WE that binds us together""
",1
"""We want people of all backgrounds to see themselves represented and included in our work, so we actively seek to diversify our team and bring more voices to the table""
",1
"""We understand that when people can be themselves, more is possible""
",1
"""We would love to have more people on board to join us on our journey to be better every day! So, come speak with us about career possibilities at Riverbed""
",1
"""We want people of all backgrounds to see themselves represented and included in our work, so we actively seek to diversify our team and bring more voices to the table""
",1
"""We would love to have more people onboard who can add value to our culture and join us on our journey to being better every day! So come speak with us about career possibilities at Riverbed""
",1
"""Joonko is on a mission to push real fairness in the workplace to the next level""
",1
"""Using Artificial Intelligence and machine learning, Joonko enables companies to achieve diversity, inclusion and belonging throughout the employee’s lifecycle""
",1
"""Being Joonko’s developer is an exciting and meaningful opportunity to join a dedicated and passionate team focused on tackling one of the most urgent and important challenges facing our generation""
",1
"""Every company now says they care about D&I, but no one has achieved it; Joonko is on a mission to build the tools that let leaders who have a genuine commitment to building inclusive cultures achieve their goals""
",1
"""As Fullstack Engineer, YOU will have the opportunity:""
",1
"""Dream up, develop and maintain new features and systems that help improve diversity and inclusion""
",1
"""Build beautiful, technologically exciting NodeJS and React-based systems using various tools such as AWS cloud services, SQL, Jest, Redux, RESTful API, serverless architecture, and more""
",1
"""Research new technologies, compare them and make development decisions based on your work""
",1
"""Work closely with the CTO to develop our business and technology""
",1
"""Take part in steering and leading our company""
",1
"""To be successful in this role, you’ll need to be:""
",1
"""Thoughtful and fun to work with""
",1
"""Imaginative and curious about learning more and develop her/his skills""
",1
"""Responsible, open-minded and has a mission-driven, do-good mentality""
",1
"""In-depth knowledge in HTML, CSS, and JavaScript""
",1
"""6+ years of experience in building web applications""
",1
"""Have 3+ years of React experience building projects from the ground up""
",1
"""Have 3+ years of Node""
",1
"""js experience, building end to end products""
",1
"""Experience with Redux The following experience will be helpful but isn’t required:""
",1
"""Experience with AWS - Cloudfront, S3, EBS Lambda, etc""
",1
"""Experience of working in Serverless architecture""
",1
"""Joonko is proud to be an equal opportunity employer""
",1
"""We are committed to equal opportunity regardless of race, color, ancestry, religion, gender, gender identity, genetic information, parental or pregnancy status, national origin, sexual orientation, age, citizenship, marital status, disability, or veteran status""
",1
"""APIs form the foundation of the application innovation needed to drive business success today""
",1
"""Across banks, retail and transportation, IoT, autonomous vehicles, and smart cities, every web and mobile app depend on APIs""
",1
"""Without secure APIs, businesses cannot rapidly innovate""
",1
"""Salt Security has delivered the only patented solution to identify and prevent API attacks, using Big Data and AI to thwart this top threat to businesses today""
",1
"""At Salt, we’re passionate about what we do""
",1
"""We work as a team and embrace new ideas, wherever they come from""
",1
"""We also enjoy all the benefits of a startup environment, including quickly seeing the results of your work, making an outsized impact on our company, and solving a diverse set of engineering challenges""
",1
"""Want to make a big difference? We encourage you to apply!""
",1
"""Our engineering team is made of strong all-around players""
",1
"""Every engineer works on all aspects of the system - from the orchestration of our Kubernetes clusters to inventing new algorithms that detect advanced attacks on APIs, to make our product’s deployments more seamless to customers""
",1
"""Salt’s engineers are experienced, highly motivated, independent, fast learners, great problem solvers, and are super to work with""
",2
"""The Platform team is crucial in making Salt Security the API security leader""
",1
"""The team oversees and builds infrastructure and tooling to allow the system to scale and perform in a fast, stable, and secure manner with bleeding-edge tech""
",1
"""The platform team is leading the revolution of Salt’s cloud services, providing the expertise and best practices for development to the highest standards""
",1
"""To learn more about Salt Security’s R&D - https://tinyurl""
",1
"""5+ years of software engineering experience""
",1
"""Experience with at least 2 of the programming languages: Go / Scala / Java / Kotlin / C# / C++ / Javascript / Python / Ruby""
",1
"""Experienced in designing, developing, and debugging complex, distributed systems (cloud-native, microservices, event-driven)""
",2
"""Experience in either Kubernetes and/or Clouds such as AWS / GCP / Azure""
",1
"""Ability to take end-2-end ownership of all RnD tasks lifecycle""
",2
"""Preferred (but not mandatory) experience:""
",1
"""Bachelor's degree in Computer Science OR Tech unit in the army (8200 / Mamram / Basmach / Matzpen / Ofek / etc""
",1
"""Service Mesh (Linkerd / Istio)""
",1
"""Experience as an Infra/ Platform/ DevOps engineer""
",1
